filename,label
video1.mp4,0.0100
video2.mp4,0.0272
video3.mp4,0.0184
video4.mp4,0.0367
video5.mp4,0.9287
video6.mp4,0.0245
video7.mp4,0.1606
video8.mp4,0.9900
video9.mp4,0.3806
video10.mp4,0.2698
video11.mp4,0.5000
video12.mp4,0.0515
video13.mp4,0.0309
video14.mp4,0.6064
video15.mp4,0.2444
video16.mp4,0.0176
video17.mp4,0.8335
video18.mp4,0.1730
video19.mp4,0.1519
video20.mp4,0.0100
video21.mp4,0.0427
video22.mp4,0.0178
video23.mp4,0.0220
video24.mp4,0.3252
video25.mp4,0.9331
video26.mp4,0.0367
video27.mp4,0.1394
video28.mp4,0.0100
video29.mp4,0.2571
video30.mp4,0.0100
video31.mp4,0.0371
video32.mp4,0.7920
video33.mp4,0.0100
video34.mp4,0.5000
video35.mp4,0.2063
video36.mp4,0.0100
video37.mp4,0.0429
video38.mp4,0.8125
video39.mp4,0.0693
video40.mp4,0.0100
video41.mp4,0.6714
video42.mp4,0.2303
video43.mp4,0.0100
video44.mp4,0.2949
video45.mp4,0.5098
video46.mp4,0.2878
video47.mp4,0.0482
video48.mp4,0.0100
video49.mp4,0.0974
video50.mp4,0.0100
video51.mp4,0.0284
video52.mp4,0.9443
video53.mp4,0.0148
video54.mp4,0.3738
video55.mp4,0.6411
video56.mp4,0.0100
video57.mp4,0.0100
video58.mp4,0.0580
video59.mp4,0.2798
video60.mp4,0.2849
video61.mp4,0.0500
video62.mp4,0.7227
video63.mp4,0.5044
video64.mp4,0.4551
video65.mp4,0.2644
video66.mp4,0.2377
video67.mp4,0.3435
video68.mp4,0.7969
video69.mp4,0.0154
video70.mp4,0.9731
video71.mp4,0.0367
video72.mp4,0.0501
video73.mp4,0.0288
video74.mp4,0.2496
video75.mp4,0.0268
video76.mp4,0.0127
video77.mp4,0.0117
video78.mp4,0.0454
video79.mp4,0.1958
video80.mp4,0.1963
video81.mp4,0.0355
video82.mp4,0.0194
video83.mp4,0.0247
video84.mp4,0.5225
video85.mp4,0.0916
video86.mp4,0.2469
video87.mp4,0.0100
video88.mp4,0.1158
video89.mp4,0.4482
video90.mp4,0.3831
video91.mp4,0.9900
video92.mp4,0.0316
video93.mp4,0.1542
video94.mp4,0.0100
video95.mp4,0.0385
video96.mp4,0.1024
video97.mp4,0.0100
video98.mp4,0.3086
video99.mp4,0.6567
video100.mp4,0.3259
video101.mp4,0.5000
video102.mp4,0.3254
video103.mp4,0.5459
video104.mp4,0.0100
video105.mp4,0.0555
video106.mp4,0.1062
video107.mp4,0.5137
video108.mp4,0.1167
video109.mp4,0.0416
video110.mp4,0.5000
video111.mp4,0.7378
video112.mp4,0.9570
video113.mp4,0.5596
video114.mp4,0.5000
video115.mp4,0.5527
video116.mp4,0.5278
video117.mp4,0.0100
video118.mp4,0.4470
video119.mp4,0.3457
video120.mp4,0.1190
video121.mp4,0.1555
video122.mp4,0.1005
video123.mp4,0.0970
video124.mp4,0.5571
video125.mp4,0.2451
video126.mp4,0.3894
video127.mp4,0.0236
video128.mp4,0.5986
video129.mp4,0.0144
video130.mp4,0.0100
video131.mp4,0.0283
video132.mp4,0.6523
video133.mp4,0.7861
video134.mp4,0.2186
video135.mp4,0.2615
video136.mp4,0.1674
video137.mp4,0.3875
video138.mp4,0.4355
video139.mp4,0.2859
video140.mp4,0.5967
video141.mp4,0.1727
video142.mp4,0.0443
video143.mp4,0.5640
video144.mp4,0.0976
video145.mp4,0.3838
video146.mp4,0.6709
video147.mp4,0.9644
video148.mp4,0.1146
video149.mp4,0.4419
video150.mp4,0.0100
video151.mp4,0.0226
video152.mp4,0.8159
video153.mp4,0.9287
video154.mp4,0.3254
video155.mp4,0.4253
video156.mp4,0.0100
video157.mp4,0.0316
video158.mp4,0.1366
video159.mp4,0.3606
video160.mp4,0.3762
video161.mp4,0.0759
video162.mp4,0.3274
video163.mp4,0.0100
video164.mp4,0.1313
video165.mp4,0.1351
video166.mp4,0.0587
video167.mp4,0.0100
video168.mp4,0.0561
video169.mp4,0.1025
video170.mp4,0.4111
video171.mp4,0.1177
video172.mp4,0.2076
video173.mp4,0.0100
video174.mp4,0.0832
video175.mp4,0.5000
video176.mp4,0.0265
video177.mp4,0.0776
video178.mp4,0.9639
video179.mp4,0.0476
video180.mp4,0.0100
video181.mp4,0.3901
video182.mp4,0.0360
video183.mp4,0.2389
video184.mp4,0.6943
video185.mp4,0.7158
video186.mp4,0.5000
video187.mp4,0.0409
video188.mp4,0.3198
video189.mp4,0.0100
video190.mp4,0.1115
video191.mp4,0.5508
video192.mp4,0.8125
video193.mp4,0.0327
video194.mp4,0.0100
video195.mp4,0.7095
video196.mp4,0.0100
video197.mp4,0.0206
video198.mp4,0.0266
video199.mp4,0.0313
video200.mp4,0.1093
video201.mp4,0.2883
video202.mp4,0.9883
video203.mp4,0.0587
video204.mp4,0.3625
video205.mp4,0.0100
video206.mp4,0.0236
video207.mp4,0.4141
video208.mp4,0.0100
video209.mp4,0.6094
video210.mp4,0.0118
video211.mp4,0.5000
video212.mp4,0.0279
video213.mp4,0.0880
video214.mp4,0.0756
video215.mp4,0.5000
video216.mp4,0.0105
video217.mp4,0.0100
video218.mp4,0.3032
video219.mp4,0.0100
video220.mp4,0.0261
video221.mp4,0.1157
video222.mp4,0.5127
video223.mp4,0.0529
video224.mp4,0.0399
video225.mp4,0.6807
video226.mp4,0.6973
video227.mp4,0.0287
video228.mp4,0.3108
video229.mp4,0.0513
video230.mp4,0.0100
video231.mp4,0.6558
video232.mp4,0.0100
video233.mp4,0.0100
video234.mp4,0.0159
video235.mp4,0.6675
video236.mp4,0.4260
video237.mp4,0.8369
video238.mp4,0.0100
video239.mp4,0.5747
video240.mp4,0.2942
video241.mp4,0.1948
video242.mp4,0.1622
video243.mp4,0.2954
video244.mp4,0.2852
video245.mp4,0.1755
video246.mp4,0.3716
video247.mp4,0.0100
video248.mp4,0.0100
video249.mp4,0.5625
video250.mp4,0.0231
video251.mp4,0.4536
video252.mp4,0.0706
video253.mp4,0.0190
video254.mp4,0.0100
video255.mp4,0.0100
video256.mp4,0.0254
video257.mp4,0.0264
video258.mp4,0.0362
video259.mp4,0.1772
video260.mp4,0.6895
video261.mp4,0.3013
video262.mp4,0.2299
video263.mp4,0.0100
