filename,label
video1.mp4,0.3425
video2.mp4,0.1628
video3.mp4,0.3079
video4.mp4,0.9795
video5.mp4,0.9900
video6.mp4,0.3000
video7.mp4,0.6172
video8.mp4,0.4697
video9.mp4,0.5000
video10.mp4,0.3862
video11.mp4,0.9829
video12.mp4,0.9653
video13.mp4,0.5000
video14.mp4,0.0520
video15.mp4,0.5166
video16.mp4,0.0100
video17.mp4,0.0261
video18.mp4,0.1891
video19.mp4,0.4077
video20.mp4,0.8325
video21.mp4,0.9900
video22.mp4,0.9858
video23.mp4,0.9258
video24.mp4,0.5596
video25.mp4,0.2461
video26.mp4,0.9900
video27.mp4,0.9900
video28.mp4,0.0814
video29.mp4,0.0100
video30.mp4,0.9717
video31.mp4,0.4490
video32.mp4,0.9900
video33.mp4,0.9766
video34.mp4,0.9900
video35.mp4,0.9443
video36.mp4,0.2556
video37.mp4,0.2056
video38.mp4,0.9900
video39.mp4,0.7988
video40.mp4,0.9900
video41.mp4,0.9658
video42.mp4,0.9551
video43.mp4,0.2375
video44.mp4,0.2698
video45.mp4,0.7954
video46.mp4,0.5903
video47.mp4,0.6006
video48.mp4,0.8369
video49.mp4,0.8335
video50.mp4,0.9900
video51.mp4,0.2313
video52.mp4,0.6528
video53.mp4,0.5000
video54.mp4,0.9900
video55.mp4,0.7900
video56.mp4,0.5000
video57.mp4,0.9900
video58.mp4,0.9746
video59.mp4,0.5000
video60.mp4,0.5000
video61.mp4,0.6211
video62.mp4,0.0149
video63.mp4,0.6514
video64.mp4,0.6611
video65.mp4,0.4417
video66.mp4,0.6924
video67.mp4,0.9814
video68.mp4,0.0164
video69.mp4,0.5239
video70.mp4,0.3052
video71.mp4,0.9824
video72.mp4,0.7720
video73.mp4,0.9712
video74.mp4,0.3669
video75.mp4,0.1771
video76.mp4,0.5649
video77.mp4,0.0439
video78.mp4,0.8276
video79.mp4,0.1729
video80.mp4,0.5200
video81.mp4,0.5483
video82.mp4,0.7856
video83.mp4,0.3740
video84.mp4,0.9722
video85.mp4,0.5000
video86.mp4,0.9900
video87.mp4,0.7905
video88.mp4,0.7935
video89.mp4,0.5938
video90.mp4,0.0666
video91.mp4,0.4077
video92.mp4,0.9541
video93.mp4,0.9858
video94.mp4,0.5342
video95.mp4,0.3396
video96.mp4,0.9900
video97.mp4,0.7900
video98.mp4,0.6948
video99.mp4,0.4319
video100.mp4,0.9717
video101.mp4,0.9326
video102.mp4,0.9673
video103.mp4,0.8369
video104.mp4,0.8252
video105.mp4,0.1760
video106.mp4,0.9756
video107.mp4,0.0304
video108.mp4,0.0194
video109.mp4,0.1426
video110.mp4,0.9900
video111.mp4,0.9702
video112.mp4,0.7256
video113.mp4,0.5381
video114.mp4,0.1788
video115.mp4,0.7480
video116.mp4,0.7852
video117.mp4,0.5488
video118.mp4,0.9900
video119.mp4,0.6392
video120.mp4,0.5903
video121.mp4,0.9900
video122.mp4,0.6450
video123.mp4,0.9900
video124.mp4,0.4463
video125.mp4,0.9790
video126.mp4,0.2271
video127.mp4,0.3521
video128.mp4,0.5000
video129.mp4,0.5923
video130.mp4,0.7534
video131.mp4,0.9878
video132.mp4,0.5449
video133.mp4,0.5601
video134.mp4,0.5562
video135.mp4,0.1443
video136.mp4,0.9688
video137.mp4,0.6108
video138.mp4,0.9810
video139.mp4,0.9648
video140.mp4,0.6064
video141.mp4,0.9790
video142.mp4,0.5000
video143.mp4,0.9883
video144.mp4,0.6572
video145.mp4,0.0100
video146.mp4,0.0138
video147.mp4,0.1536
video148.mp4,0.5679
video149.mp4,0.9900
video150.mp4,0.9900
video151.mp4,0.9900
video152.mp4,0.6523
video153.mp4,0.3430
video154.mp4,0.2739
video155.mp4,0.3560
video156.mp4,0.0359
video157.mp4,0.9900
video158.mp4,0.9858
video159.mp4,0.9824
video160.mp4,0.9771
video161.mp4,0.5029
video162.mp4,0.7710
video163.mp4,0.9683
video164.mp4,0.5000
video165.mp4,0.6235
video166.mp4,0.6558
video167.mp4,0.5156
video168.mp4,0.9565
video169.mp4,0.9883
video170.mp4,0.5933
video171.mp4,0.0723
video172.mp4,0.9521
video173.mp4,0.5000
video174.mp4,0.9331
video175.mp4,0.5098
video176.mp4,0.5488
video177.mp4,0.9355
video178.mp4,0.9702
video179.mp4,0.9326
video180.mp4,0.6064
video181.mp4,0.4624
video182.mp4,0.4663
video183.mp4,0.9521
video184.mp4,0.9771
video185.mp4,0.4431
video186.mp4,0.9900
video187.mp4,0.4741
video188.mp4,0.5000
video189.mp4,0.7290
video190.mp4,0.5781
video191.mp4,0.0267
video192.mp4,0.1292
video193.mp4,0.7397
video194.mp4,0.5000
video195.mp4,0.9482
video196.mp4,0.9900
video197.mp4,0.0100
video198.mp4,0.1188
video199.mp4,0.2206
video200.mp4,0.7520
video201.mp4,0.2627
video202.mp4,0.8242
video203.mp4,0.9224
video204.mp4,0.5000
video205.mp4,0.3137
video206.mp4,0.2324
video207.mp4,0.9858
video208.mp4,0.7993
video209.mp4,0.0648
video210.mp4,0.9683
video211.mp4,0.1954
video212.mp4,0.4736
video213.mp4,0.9900
video214.mp4,0.9900
video215.mp4,0.4570
video216.mp4,0.9453
video217.mp4,0.2764
video218.mp4,0.1866
video219.mp4,0.6689
video220.mp4,0.9683
video221.mp4,0.0305
video222.mp4,0.6812
video223.mp4,0.9629
video224.mp4,0.4651
video225.mp4,0.3164
video226.mp4,0.0580
video227.mp4,0.9355
video228.mp4,0.6870
video229.mp4,0.7725
video230.mp4,0.8359
video231.mp4,0.3730
video232.mp4,0.3093
video233.mp4,0.6240
video234.mp4,0.9819
video235.mp4,0.1893
video236.mp4,0.9900
video237.mp4,0.9900
video238.mp4,0.5483
video239.mp4,0.4656
video240.mp4,0.5000
video241.mp4,0.7935
video242.mp4,0.9900
video243.mp4,0.4568
video244.mp4,0.3088
video245.mp4,0.4214
video246.mp4,0.9883
video247.mp4,0.9900
video248.mp4,0.9590
video249.mp4,0.7275
video250.mp4,0.4067
video251.mp4,0.5693
video252.mp4,0.3752
video253.mp4,0.7734
video254.mp4,0.9229
video255.mp4,0.0147
video256.mp4,0.6484
video257.mp4,0.4207
video258.mp4,0.5474
video259.mp4,0.7178
video260.mp4,0.2668
video261.mp4,0.1609
video262.mp4,0.9644
video263.mp4,0.9854
video264.mp4,0.4751
video265.mp4,0.1184
video266.mp4,0.9900
video267.mp4,0.8198
video268.mp4,0.5850
video269.mp4,0.2732
video270.mp4,0.6665
video271.mp4,0.0432
video272.mp4,0.5200
video273.mp4,0.7192
video274.mp4,0.4768
video275.mp4,0.5000
video276.mp4,0.9805
video277.mp4,0.4963
video278.mp4,0.1071
video279.mp4,0.3328
video280.mp4,0.3760
video281.mp4,0.0122
video282.mp4,0.9900
video283.mp4,0.7319
video284.mp4,0.7983
video285.mp4,0.2520
video286.mp4,0.2651
video287.mp4,0.5229
video288.mp4,0.2820
video289.mp4,0.4563
